cert,fail_date
20027,1991-10-03
26815,1991-10-03
11259,1991-10-02
26843,1991-09-27
27633,1991-09-27
27867,1991-09-27
27962,1991-09-27
28742,1991-09-27
29092,1991-09-27
29460,1991-09-27
29563,1991-09-27
32400,1991-09-27
24502,1991-09-20
26946,1991-09-20
3575,1991-09-19
16944,1991-09-19
28889,1991-09-19
19591,1991-09-16
26924,1991-09-13
28177,1991-09-13
32224,1991-09-13
18242,1991-09-06
23679,1991-09-06
29411,1991-09-06
32023,1991-09-06
32454,1991-09-06
26273,1991-08-30
26792,1991-08-30
27862,1991-08-30
30961,1991-08-30
31588,1991-08-30
90228,1991-08-30
5519,1991-08-29
14804,1991-08-29
27657,1991-08-23
27693,1991-08-23
27842,1991-08-23
14421,1991-08-22
15379,1991-08-22
22016,1991-08-16
27463,1991-08-16
32249,1991-08-16
32252,1991-08-16
2531,1991-08-09
18256,1991-08-09
21605,1991-08-09
22908,1991-08-09
28041,1991-08-09
28587,1991-08-09
29041,1991-08-09
27618,1991-08-02
32438,1991-08-02
22325,1991-07-26
27157,1991-07-26
29498,1991-07-26
32301,1991-07-26
3283,1991-07-25
20960,1991-07-19
26331,1991-07-19
30010,1991-07-19
30545,1991-07-19
32494,1991-07-19
23882,1991-07-12
25592,1991-07-12
27825,1991-07-12
29295,1991-07-12
31800,1991-07-12
32223,1991-07-12
32566,1991-07-09
17795,1991-06-28
28786,1991-06-28
30758,1991-06-28
26659,1991-06-21
32179,1991-06-21
30538,1991-06-14
31276,1991-06-14
17681,1991-06-13
19012,1991-06-13
23039,1991-06-13
27274,1991-06-13
28161,1991-06-07
90310,1991-06-07
25142,1991-06-06
10544,1991-05-31
15963,1991-05-31
28019,1991-05-31
31168,1991-05-31
31274,1991-05-31
31363,1991-05-31
32126,1991-05-31
32592,1991-05-31
20753,1991-05-24
27380,1991-05-24
31436,1991-05-24
16544,1991-05-23
29202,1991-05-23
6499,1991-05-22
15404,1991-05-17
22504,1991-05-17
29002,1991-05-17
29795,1991-05-17
19935,1991-05-16
27131,1991-05-16
18960,1991-05-10
20210,1991-05-10
27418,1991-05-10
28265,1991-05-10
28523,1991-05-10
28885,1991-05-10
30782,1991-05-10
31552,1991-05-10
32100,1991-05-10
32537,1991-05-10
3397,1991-05-09
8441,1991-05-09
18709,1991-05-09
25736,1991-05-09
26791,1991-05-03
28975,1991-05-03
30370,1991-05-03
30413,1991-05-03
30686,1991-05-03
31179,1991-05-03
32412,1991-05-03
23217,1991-04-26
29588,1991-04-26
29819,1991-04-26
32202,1991-04-26
32380,1991-04-26
32598,1991-04-26
32605,1991-04-26
29844,1991-04-19
30392,1991-04-19
31914,1991-04-19
32596,1991-04-19
32603,1991-04-19
25120,1991-04-18
23487,1991-04-12
27315,1991-04-12
32054,1991-04-12
18723,1991-04-11
19612,1991-04-05
28347,1991-04-05
29417,1991-04-05
30361,1991-04-05
31270,1991-04-05
11576,1991-04-04
22487,1991-03-29
24043,1991-03-29
25817,1991-03-28
32095,1991-03-27
28512,1991-03-22
28605,1991-03-22
29287,1991-03-22
30940,1991-03-22
31648,1991-03-22
32175,1991-03-22
32563,1991-03-22
10331,1991-03-21
11185,1991-03-21
27003,1991-03-15
28683,1991-03-15
28791,1991-03-15
29083,1991-03-15
29716,1991-03-15
32514,1991-03-15
18844,1991-03-14
26557,1991-03-14
24588,1991-03-08
24831,1991-03-08
25145,1991-03-08
28827,1991-03-08
29019,1991-03-08
29036,1991-03-08
30139,1991-03-08
30960,1991-03-08
31454,1991-03-08
32340,1991-03-08
29643,1991-03-01
32235,1991-03-01
17806,1991-02-28
27170,1991-02-22
29015,1991-02-22
31206,1991-02-22
21985,1991-02-21
29370,1991-02-20
5594,1991-02-14
16965,1991-02-14
28150,1991-02-08
29585,1991-02-08
29946,1991-02-08
31719,1991-02-08
32114,1991-02-08
17850,1991-02-07
22080,1991-02-07
11272,1991-02-01
17721,1991-02-01
29422,1991-02-01
31654,1991-02-01
31859,1991-02-01
20579,1991-01-31
25815,1991-01-31
16428,1991-01-29
24568,1991-01-25
30169,1991-01-25
31062,1991-01-25
31703,1991-01-25
32523,1991-01-25
23461,1991-01-24
23221,1991-01-22
30138,1991-01-18
32332,1991-01-18
26302,1991-01-11
28292,1991-01-11
31560,1991-01-11
32134,1991-01-11
2545,1991-01-06
2560,1991-01-06
4275,1991-01-06
28634,1991-01-04
28767,1991-01-04
29161,1991-01-04
29638,1991-01-04
30888,1991-01-04
19572,1990-12-28
28287,1990-12-28
29116,1990-12-28
29415,1990-12-27
32145,1990-12-21
28783,1990-12-15
9019,1990-12-14
23074,1990-12-14
23104,1990-12-14
25125,1990-12-14
28143,1990-12-14
28473,1990-12-14
28809,1990-12-14
29457,1990-12-14
30645,1990-12-14
31126,1990-12-14
31137,1990-12-14
9469,1990-12-13
11558,1990-12-13
26835,1990-12-13
90201,1990-12-12
21631,1990-12-07
24105,1990-12-07
27700,1990-12-07
29827,1990-12-07
29958,1990-12-07
31053,1990-12-07
26383,1990-12-06
22690,1990-11-30
28821,1990-11-30
29003,1990-11-30
29466,1990-11-30
30122,1990-11-30
31058,1990-11-30
31616,1990-11-30
31827,1990-11-30
1204,1990-11-29
18851,1990-11-29
29207,1990-11-16
32184,1990-11-16
32344,1990-11-16
21518,1990-11-15
30223,1990-11-15
19316,1990-11-09
28608,1990-11-09
32234,1990-11-09
32479,1990-11-09
25763,1990-11-02
28719,1990-11-02
30593,1990-11-02
30984,1990-11-02
25180,1990-11-01
13245,1990-10-26
32177,1990-10-26
32403,1990-10-26
4976,1990-10-25
28464,1990-10-23
18236,1990-10-19
20863,1990-10-19
22064,1990-10-19
31518,1990-10-19
32255,1990-10-19
32064,1990-10-12
26225,1990-10-11
11789,1990-10-05
21619,1990-10-05
24301,1990-10-04
26475,1990-09-27
27042,1990-09-27
28366,1990-09-21
28586,1990-09-21
29315,1990-09-21
31080,1990-09-21
32274,1990-09-21
10714,1990-09-20
14609,1990-09-20
26654,1990-09-20
22642,1990-09-14
26373,1990-09-14
32590,1990-09-14
22505,1990-09-13
24295,1990-09-13
25872,1990-09-13
26686,1990-09-13
4178,1990-09-12
27667,1990-09-07
31887,1990-09-07
16219,1990-09-06
29118,1990-08-31
29493,1990-08-31
32070,1990-08-31
32181,1990-08-31
3299,1990-08-30
10350,1990-08-30
23402,1990-08-30
24293,1990-08-30
25301,1990-08-30
26776,1990-08-30
26953,1990-08-30
29371,1990-08-24
29603,1990-08-24
32220,1990-08-24
29499,1990-08-22
29297,1990-08-17
32371,1990-08-17
17240,1990-08-16
18290,1990-08-16
26609,1990-08-16
2092,1990-08-10
20816,1990-08-10
29826,1990-08-10
30893,1990-08-10
18623,1990-08-09
30312,1990-08-03
31851,1990-08-03
31956,1990-08-03
16392,1990-08-02
18250,1990-08-02
31444,1990-07-31
25229,1990-07-27
27788,1990-07-27
30843,1990-07-27
32239,1990-07-27
32578,1990-07-27
15740,1990-07-26
18787,1990-07-26
24410,1990-07-26
25605,1990-07-26
29865,1990-07-20
30140,1990-07-20
31269,1990-07-20
32208,1990-07-20
22583,1990-07-13
28023,1990-07-13
28787,1990-07-13
29023,1990-07-13
29240,1990-07-13
15274,1990-07-12
26387,1990-07-12
22062,1990-07-06
31957,1990-07-06
90242,1990-07-06
32037,1990-07-05
22320,1990-06-29
22409,1990-06-29
27632,1990-06-29
28044,1990-06-29
31640,1990-06-29
32168,1990-06-29
32214,1990-06-29
5566,1990-06-28
23336,1990-06-28
23887,1990-06-28
25874,1990-06-28
26180,1990-06-28
30353,1990-06-22
31817,1990-06-22
24864,1990-06-21
24982,1990-06-21
25089,1990-06-21
26711,1990-06-21
22852,1990-06-18
24683,1990-06-15
27617,1990-06-15
27890,1990-06-15
31843,1990-06-15
31924,1990-06-15
3012,1990-06-14
21187,1990-06-14
21476,1990-06-14
24349,1990-06-14
24652,1990-06-14
23795,1990-06-08
28716,1990-06-08
30390,1990-06-08
30770,1990-06-08
20240,1990-06-07
24496,1990-06-07
24724,1990-06-07
25300,1990-06-07
2614,1990-06-01
3410,1990-06-01
5512,1990-06-01
5524,1990-06-01
15488,1990-06-01
19185,1990-06-01
19307,1990-06-01
20276,1990-06-01
22404,1990-06-01
22685,1990-06-01
28419,1990-06-01
28848,1990-06-01
31671,1990-06-01
32315,1990-06-01
32323,1990-06-01
1193,1990-05-31
23499,1990-05-31
25909,1990-05-31
27980,1990-05-25
29324,1990-05-25
31078,1990-05-25
31726,1990-05-25
31938,1990-05-25
32056,1990-05-25
11456,1990-05-24
15366,1990-05-24
24896,1990-05-24
25100,1990-05-24
26862,1990-05-18
28811,1990-05-18
28944,1990-05-18
29130,1990-05-18
30432,1990-05-18
30592,1990-05-18
3216,1990-05-17
5547,1990-05-17
30147,1990-05-15
29182,1990-05-11
31134,1990-05-11
31508,1990-05-11
32576,1990-05-11
16108,1990-05-10
19026,1990-05-10
23527,1990-05-10
23699,1990-05-10
25052,1990-05-09
32411,1990-05-08
25138,1990-05-04
28257,1990-05-04
28526,1990-05-04
30130,1990-05-04
31433,1990-05-04
31982,1990-05-04
21812,1990-05-03
22262,1990-05-03
28666,1990-04-27
29581,1990-04-27
18721,1990-04-26
23002,1990-04-26
24666,1990-04-26
25666,1990-04-26
25831,1990-04-20
28307,1990-04-20
30301,1990-04-20
30305,1990-04-20
31897,1990-04-20
32187,1990-04-20
32253,1990-04-20
15051,1990-04-19
17952,1990-04-19
18110,1990-04-19
22147,1990-04-19
24915,1990-04-19
24941,1990-04-19
16070,1990-04-18
15869,1990-04-12
31233,1990-04-12
31271,1990-04-12
18793,1990-04-05
25780,1990-04-05
27839,1990-04-05
18840,1990-03-30
26469,1990-03-30
3071,1990-03-29
24014,1990-03-29
26648,1990-03-29
5507,1990-03-22
17665,1990-03-22
19602,1990-03-22
22829,1990-03-22
26353,1990-03-22
29122,1990-03-16
29137,1990-03-16
29403,1990-03-16
30194,1990-03-16
31455,1990-03-16
31547,1990-03-16
31828,1990-03-16
32097,1990-03-16
32330,1990-03-16
9880,1990-03-15
23065,1990-03-15
25649,1990-03-15
21630,1990-03-09
28697,1990-03-09
30267,1990-03-09
30398,1990-03-09
30795,1990-03-09
31873,1990-03-09
31965,1990-03-09
16457,1990-03-08
18647,1990-03-08
22405,1990-03-08
30697,1990-03-02
30752,1990-03-02
31174,1990-03-02
31744,1990-03-02
32588,1990-03-02
5516,1990-03-01
24075,1990-03-01
26608,1990-03-01
20150,1990-02-23
24752,1990-02-23
27739,1990-02-23
28176,1990-02-23
28311,1990-02-23
28488,1990-02-23
28517,1990-02-23
29451,1990-02-23
30510,1990-02-23
30854,1990-02-23
31073,1990-02-23
31273,1990-02-23
31660,1990-02-23
31801,1990-02-23
8949,1990-02-22
28220,1990-02-21
27850,1990-02-16
28247,1990-02-16
28829,1990-02-16
28911,1990-02-16
29318,1990-02-16
30311,1990-02-16
31320,1990-02-16
32101,1990-02-16
21436,1990-02-15
23452,1990-02-15
26667,1990-02-15
28205,1990-02-09
29127,1990-02-09
29728,1990-02-09
29840,1990-02-09
32094,1990-02-09
32515,1990-02-09
4237,1990-02-08
16816,1990-02-02
26429,1990-02-02
27915,1990-02-02
29000,1990-02-02
29470,1990-02-02
30803,1990-02-02
32261,1990-02-02
24393,1990-02-01
31400,1990-01-31
3164,1990-01-26
16036,1990-01-26
19273,1990-01-26
24937,1990-01-26
28929,1990-01-26
30309,1990-01-26
31710,1990-01-26
31991,1990-01-26
32003,1990-01-26
32089,1990-01-26
1215,1990-01-25
30321,1990-01-24
27765,1990-01-18
28830,1990-01-18
29465,1990-01-18
30677,1990-01-18
30855,1990-01-18
31052,1990-01-18
31213,1990-01-18
31310,1990-01-18
31463,1990-01-18
26252,1990-01-11
28154,1990-01-11
28340,1990-01-11
28863,1990-01-11
28884,1990-01-11
28928,1990-01-11
28940,1990-01-11
29803,1990-01-11
31944,1990-01-11
32122,1990-01-11
32191,1990-01-11
32342,1990-01-11
5517,1990-01-04
27920,1990-01-04
30034,1990-01-04
30995,1990-01-04
31904,1990-01-04
31911,1989-12-21
32390,1989-12-21
23419,1989-12-20
26814,1989-12-20
18002,1989-12-15
17861,1989-12-14
19492,1989-12-14
20918,1989-12-14
29444,1989-12-14
30675,1989-12-14
31830,1989-12-14
4192,1989-12-13
24901,1989-12-13
21514,1989-12-08
24623,1989-12-08
28223,1989-12-08
28406,1989-12-08
20485,1989-12-07
22593,1989-12-07
25166,1989-12-07
25674,1989-12-07
26464,1989-12-07
29516,1989-12-07
30624,1989-12-07
31714,1989-12-07
